score,count,share
0,29317,0.01492087
1,3424,0.00174264
2,3696,0.00188108
3,5302,0.00269845
4,7782,0.00396064
5,8321,0.00423497
6,6108,0.00310866
7,6435,0.00327509
8,9215,0.00468997
9,6013,0.00306031
10,4122,0.00209789
11,2662,0.00135482
12,4892,0.00248978
13,12057,0.00613640
14,16457,0.00837578
15,9492,0.00483095
16,6508,0.00331224
17,5822,0.00296310
18,8812,0.00448486
19,12741,0.00648452
20,11242,0.00572161
21,10718,0.00545492
22,10635,0.00541268
23,13063,0.00664841
24,14532,0.00739605
25,17416,0.00886386
26,21606,0.01099636
27,27414,0.01395234
28,15150,0.00771058
29,17544,0.00892901
30,36439,0.01854561
31,46195,0.02351092
32,38519,0.01960422
33,20844,0.01060854
34,24454,0.01244585
35,36549,0.01860159
36,36530,0.01859192
37,34132,0.01737146
38,45284,0.02304726
39,63892,0.03251779
40,51709,0.02631726
41,44444,0.02261975
42,34200,0.01740607
43,22309,0.01135415
44,17366,0.00883841
45,30522,0.01553415
46,20998,0.01068692
47,28931,0.01472441
48,28964,0.01474121
49,31482,0.01602274
50,43585,0.02218256
51,24148,0.01229011
52,17920,0.00912037
53,13852,0.00704997
54,13740,0.00699296
55,37050,0.01885657
56,27267,0.01387752
57,31105,0.01583087
58,22265,0.01133176
59,17912,0.00911630
60,35722,0.01818069
61,16473,0.00838392
62,16578,0.00843736
63,17238,0.00877327
64,33221,0.01690781
65,23407,0.01191298
66,35538,0.01808704
67,31113,0.01583494
68,65095,0.03313006
69,40744,0.02073663
70,54963,0.02797338
71,44668,0.02273375
72,32389,0.01648436
73,15223,0.00774774
74,11915,0.00606413
75,12862,0.00654611
76,19283,0.00981407
77,21534,0.01095972
78,18524,0.00942778
79,15894,0.00808924
80,15919,0.00810196
81,13297,0.00676750
82,14078,0.00716499
83,11784,0.00599746
84,8279,0.00421359
85,8377,0.00426347
86,11654,0.00593130
87,10156,0.00516889
88,7810,0.00397489
89,6326,0.00321961
90,5196,0.00264450
91,2157,0.00109780
92,1955,0.00099500
93,1455,0.00074052
94,2087,0.00106218
95,2525,0.00128510
96,3182,0.00161948
97,872,0.00044380
98,195,0.00009925
99,33,0.00001680
100,4006,0.00203885